,$Functions-l-d-output_{size}$,$L$,$hidden_{size}$,loss,W_2
0,linear-rbf-trigonometric-3-5-3,3,10,9.95805835723877,7.307432020808081
1,linear-rbf-trigonometric-3-5-3,3,50,1.8909050226211548,1.5539045391171151
2,linear-rbf-trigonometric-3-5-3,3,100,2.0339319705963135,2.0456429894727206
3,linear-rbf-trigonometric-3-5-3,3,500,0.7974280714988708,0.802627599220331
4,linear-rbf-trigonometric-3-5-3,5,10,2.9673891067504883,1.9438957938465378
5,linear-rbf-trigonometric-3-5-3,5,50,2.1052896976470947,1.6857238653340352
6,linear-rbf-trigonometric-3-5-3,5,100,2.129309892654419,1.7638523567996534
7,linear-rbf-trigonometric-3-5-3,5,500,0.6377577781677246,0.8267961004853737
8,linear-rbf-trigonometric-3-5-3,7,10,2.1754331588745117,1.5811234776534524
9,linear-rbf-trigonometric-3-5-3,7,50,2.1852457523345947,1.7217117967035853
10,linear-rbf-trigonometric-3-5-3,7,100,2.254835844039917,1.8817390722405585
11,linear-rbf-trigonometric-3-5-3,7,500,2.637929916381836,2.1908339410587785
12,linear-rbf-trigonometric-5-5-3,3,10,206.58929443359375,182.45254970728038
13,linear-rbf-trigonometric-5-5-3,3,50,5.192746639251709,5.460695088994161
14,linear-rbf-trigonometric-5-5-3,3,100,3.3986356258392334,4.711580370453222
15,linear-rbf-trigonometric-5-5-3,3,500,2.1647112369537354,3.9342497780651065
16,linear-rbf-trigonometric-5-5-3,5,10,29.970993041992188,23.070891463614597
17,linear-rbf-trigonometric-5-5-3,5,50,5.2123260498046875,6.284409795099848
18,linear-rbf-trigonometric-5-5-3,5,100,4.022527694702148,6.462285581979396
19,linear-rbf-trigonometric-5-5-3,5,500,1.6377906799316406,2.9094554471761542
20,linear-rbf-trigonometric-5-5-3,7,10,10.168124198913574,8.927754348351685
21,linear-rbf-trigonometric-5-5-3,7,50,5.6593146324157715,6.83664983265908
22,linear-rbf-trigonometric-5-5-3,7,100,3.1667373180389404,5.238965691459208
23,linear-rbf-trigonometric-5-5-3,7,500,1.9694737195968628,3.572643738295246
24,linear-rbf-trigonometric-7-5-3,3,10,330.1767272949219,316.1495987228693
25,linear-rbf-trigonometric-7-5-3,3,50,5.582250118255615,6.118685209887372
26,linear-rbf-trigonometric-7-5-3,3,100,4.346426486968994,5.800116151506166
27,linear-rbf-trigonometric-7-5-3,3,500,1.6894930601119995,3.284923251128139
28,linear-rbf-trigonometric-7-5-3,5,10,55.25587844848633,51.58272080602641
29,linear-rbf-trigonometric-7-5-3,5,50,5.658881664276123,6.859221530386323
30,linear-rbf-trigonometric-7-5-3,5,100,4.26262903213501,5.221659583106925
31,linear-rbf-trigonometric-7-5-3,5,500,2.9245243072509766,3.3294767762250497
32,linear-rbf-trigonometric-7-5-3,7,10,15.734745979309082,15.0139847183233
33,linear-rbf-trigonometric-7-5-3,7,50,5.354320526123047,5.999870184592679
34,linear-rbf-trigonometric-7-5-3,7,100,4.431714057922363,5.440792837661594
35,linear-rbf-trigonometric-7-5-3,7,500,2.0756890773773193,3.1174418675582904
